"GEOID","NAME","S0101_C01_002","S0101_C01_003","S0101_C01_004","S0101_C01_021"
"00601","ZCTA5 00601",560,772,1095,601
"00602","ZCTA5 00602",1136,1291,2149,1254
"00603","ZCTA5 00603",1521,1932,2757,1764
"00606","ZCTA5 00606",188,232,271,193
"00610","ZCTA5 00610",716,1228,1172,877
"00611","ZCTA5 00611",96,81,48,0
"00612","ZCTA5 00612",2274,2834,3460,2477
"00616","ZCTA5 00616",204,426,539,137
"00617","ZCTA5 00617",778,930,1357,851
"00622","ZCTA5 00622",296,178,401,197
"00623","ZCTA5 00623",955,1585,2282,1440
"00624","ZCTA5 00624",1059,1320,1198,812
"00627","ZCTA5 00627",1081,1255,1848,1121
"00631","ZCTA5 00631",38,44,76,39
"00636","ZCTA5 00636",65,60,69,88
"00637","ZCTA5 00637",784,1105,1325,785
"00638","ZCTA5 00638",585,838,1005,566
"00641","ZCTA5 00641",771,878,1522,911
"00646","ZCTA5 00646",1237,1738,2217,1435
"00647","ZCTA5 00647",243,104,538,96
"00650","ZCTA5 00650",412,668,836,389
"00652","ZCTA5 00652",72,171,210,181
"00653","ZCTA5 00653",222,217,557,362
"00656","ZCTA5 00656",576,746,1088,698
"00659","ZCTA5 00659",1041,1415,1923,1235
"00660","ZCTA5 00660",373,529,763,496
"00662","ZCTA5 00662",1251,1651,1890,1500
"00664","ZCTA5 00664",573,708,1043,569
"00667","ZCTA5 00667",685,855,1167,753
"00669","ZCTA5 00669",889,995,1720,933
"00670","ZCTA5 00670",290,440,558,288
"00674","ZCTA5 00674",1381,1981,1960,1374
"00676","ZCTA5 00676",1285,1834,1990,1342
"00677","ZCTA5 00677",408,660,732,446
"00678","ZCTA5 00678",796,929,1553,858
"00680","ZCTA5 00680",1300,1788,2314,1452
"00682","ZCTA5 00682",1017,1407,1205,1099
"00683","ZCTA5 00683",795,1069,1830,1054
"00685","ZCTA5 00685",1277,1592,2796,1380
"00687","ZCTA5 00687",1037,1102,1876,1096
"00688","ZCTA5 00688",295,480,582,279
"00690","ZCTA5 00690",222,296,436,292
"00692","ZCTA5 00692",1045,1506,2034,1312
"00693","ZCTA5 00693",2068,2703,2788,1977
"00694","ZCTA5 00694",0,0,0,0
"00698","ZCTA5 00698",1046,1511,1796,1089
"00703","ZCTA5 00703",810,828,1729,872
"00704","ZCTA5 00704",336,392,353,285
"00705","ZCTA5 00705",789,1100,1305,845
"00707","ZCTA5 00707",146,551,667,344
"00714","ZCTA5 00714",558,740,999,613
"00715","ZCTA5 00715",37,84,213,67
"00716","ZCTA5 00716",925,1249,1704,953
"00717","ZCTA5 00717",234,600,784,601
"00718","ZCTA5 00718",843,1711,938,984
"00719","ZCTA5 00719",1088,1088,2010,1015
"00720","ZCTA5 00720",858,1131,1181,782
"00723","ZCTA5 00723",454,787,702,546
"00725","ZCTA5 00725",2555,3468,3562,2573
"00727","ZCTA5 00727",1600,2472,2939,2007
"00728","ZCTA5 00728",1722,1928,2113,1460
"00729","ZCTA5 00729",1605,2384,2732,1800
"00730","ZCTA5 00730",1075,1207,1987,906
"00731","ZCTA5 00731",236,457,558,268
"00735","ZCTA5 00735",300,491,557,365
"00736","ZCTA5 00736",1428,1516,2618,1570
"00738","ZCTA5 00738",981,1237,1711,1063
"00739","ZCTA5 00739",1258,1355,2285,1318
"00740","ZCTA5 00740",138,224,94,32
"00741","ZCTA5 00741",330,132,144,78
"00745","ZCTA5 00745",1468,1670,2791,1684
"00751","ZCTA5 00751",515,854,1300,775
"00754","ZCTA5 00754",1181,1822,1791,1320
"00757","ZCTA5 00757",735,1169,1007,810
"00765","ZCTA5 00765",297,396,473,254
"00766","ZCTA5 00766",885,1143,1254,831
"00767","ZCTA5 00767",935,1228,1714,1074
"00769","ZCTA5 00769",1124,1370,2164,1127
"00771","ZCTA5 00771",1137,1429,2186,1355
"00772","ZCTA5 00772",555,769,1083,585
"00773","ZCTA5 00773",549,794,919,631
"00775","ZCTA5 00775",34,49,80,41
"00777","ZCTA5 00777",1336,1663,2333,1483
"00778","ZCTA5 00778",1248,1690,2490,1556
"00780","ZCTA5 00780",440,537,1147,679
